# model|lemma|kind|mirror   (mirror "-" = supporting lemma, no direct runtime mirror)
scope_stack.dfy|PushDepth|contract|globals.nim
scope_stack.dfy|PushKeepsSynced|contract|globals.nim
scope_stack.dfy|PopKeepsSynced|contract|globals.nim
scope_stack.dfy|NewedRestored|test|tests/test_contracts.nim
scope_stack.dfy|WrittenPropagated|test|tests/test_contracts.nim
scope_stack.dfy|UnwrittenUnchanged|test|tests/test_contracts.nim
scope_stack.dfy|NewedRestores|test|tests/test_contracts.nim
scope_stack.dfy|WritePropagates|test|tests/test_contracts.nim
scope_stack.dfy|TwoLevelPropagate|test|tests/test_contracts.nim
scope_stack.dfy|TwoLevelRestore|test|tests/test_contracts.nim
txn_overlay.dfy|KillRemovesDescendants|support|-
txn_overlay.dfy|WriteVisible|support|-
txn_overlay.dfy|KillThenWriteWins|support|-
txn_overlay.dfy|WriteThenKillRemoves|support|-
txn_overlay.dfy|FlattenMergeLevels|support|-
txn_overlay.dfy|TlevelTstart|support|-
txn_overlay.dfy|TlevelTcommit|support|-
txn_overlay.dfy|TlevelTrollback|support|-
txn_overlay.dfy|CommitPreservesEffective|test|tests/test_txn_lmdb.sh
txn_overlay.dfy|RollbackDiscardsTopLevel|test|tests/test_txn_lmdb.sh
txn_overlay.dfy|NestedKillThenWriteWins|test|tests/test_txn_lmdb.sh
value_format.dfy|DropLeadingZeroIdempotent|contract|value.nim
value_format.dfy|CanonicalizeHalf|fuzz|tests/test_property_fuzz.nim
value_format.dfy|CanonicalizeNegQuarter|fuzz|tests/test_property_fuzz.nim
value_format.dfy|KeepInteger|fuzz|tests/test_property_fuzz.nim
value_format.dfy|KeepWhole|fuzz|tests/test_property_fuzz.nim
vm_opcodes.dfy|NetConcat|support|-
vm_opcodes.dfy|NoUnderflowFromMonotone|support|-
vm_opcodes.dfy|ConcatNoUnderflow|support|-
vm_opcodes.dfy|SingleOpSafe|support|-
vm_opcodes.dfy|PushIsExpr|test|tests/test_vm_table.nim
vm_opcodes.dfy|BinopIsExpr|test|tests/test_vm_table.nim
vm_opcodes.dfy|SubscriptReadIsExpr|test|tests/test_vm_table.nim
vm_opcodes.dfy|SetVarIsStmt|test|tests/test_vm_table.nim
vm_opcodes.dfy|SubscriptWriteIsStmt|test|tests/test_vm_table.nim
vm_opcodes.dfy|WriteIsStmt|test|tests/test_vm_table.nim
vm_opcodes.dfy|SeqIsStmt|test|tests/test_vm_table.nim
vm_opcodes.dfy|NetZeroOpIsStmt|test|tests/test_vm_table.nim
numeric_prefix.dfy|DigitRunEndAtLeast|support|-
numeric_prefix.dfy|EmptyIsFalse|test|tests/test_truthy.nim
numeric_prefix.dfy|ZeroIsFalse|test|tests/test_truthy.nim
numeric_prefix.dfy|ZeroPointZeroIsFalse|test|tests/test_truthy.nim
numeric_prefix.dfy|AlphaIsFalse|test|tests/test_truthy.nim
numeric_prefix.dfy|OneIsTrue|test|tests/test_truthy.nim
numeric_prefix.dfy|LeadingZeroIsTrue|test|tests/test_truthy.nim
numeric_prefix.dfy|FractionIsTrue|test|tests/test_truthy.nim
numeric_prefix.dfy|PrefixIsTrue|test|tests/test_truthy.nim
numeric_prefix.dfy|LowerEIsTrue|test|tests/test_truthy.nim
numeric_prefix.dfy|LeadingNonZeroDigitIsTrue|support|-
numeric_prefix.dfy|NoDigitsIsFalse|support|-
value_format.dfy|StripZerosFix|support|-
value_format.dfy|StripHalfZero|fuzz|tests/test_property_fuzz.nim
value_format.dfy|StripPointZero|fuzz|tests/test_property_fuzz.nim
value_format.dfy|KeepTrailingIntegerZero|fuzz|tests/test_property_fuzz.nim
value_format.dfy|CanonicalizeHalfZero|fuzz|tests/test_property_fuzz.nim
value_format.dfy|CanonicalizeFive|fuzz|tests/test_property_fuzz.nim
string_functions.dfy|LengthHello|test|tests/test_string_functions.sh
string_functions.dfy|ExtractEll|test|tests/test_string_functions.sh
string_functions.dfy|ExtractFirst|test|tests/test_string_functions.sh
string_functions.dfy|ExtractEmptyRange|test|tests/test_string_functions.sh
string_functions.dfy|ExtractClampFirst|test|tests/test_string_functions.sh
string_functions.dfy|ExtractClampLast|test|tests/test_string_functions.sh
string_functions.dfy|ExtractPastEnd|test|tests/test_string_functions.sh
string_functions.dfy|FindEll|test|tests/test_string_functions.sh
string_functions.dfy|FindAbsent|test|tests/test_string_functions.sh
string_functions.dfy|FindB|test|tests/test_string_functions.sh
string_functions.dfy|TranslateSimple|test|tests/test_string_functions.sh
string_functions.dfy|TranslatePair|test|tests/test_string_functions.sh
string_functions.dfy|TranslateRepeated|test|tests/test_string_functions.sh
string_functions.dfy|FindAtRange|support|-
string_functions.dfy|FindAtExhausts|support|-
string_functions.dfy|FindZeroMeansAbsent|support|-
control_flow_bisim.dfy|RunStep|support|-
control_flow_bisim.dfy|RunStmts|support|-
control_flow_bisim.dfy|IfBisim|conformance|tests/test_bytecode_conformance.sh
functions_more.dfy|GetValue|test|tests/test_string_functions.sh
functions_more.dfy|GetDefault|test|tests/test_string_functions.sh
functions_more.dfy|CaseFirst|test|tests/test_string_functions.sh
functions_more.dfy|CaseSecond|test|tests/test_string_functions.sh
functions_more.dfy|CaseDefault|test|tests/test_string_functions.sh
functions_more.dfy|SelectFirstTruthy|test|tests/test_string_functions.sh
functions_more.dfy|SelectNoTruthy|test|tests/test_string_functions.sh
functions_more.dfy|CountCommasZero|test|tests/test_string_functions.sh
functions_more.dfy|CountCommasTwo|test|tests/test_string_functions.sh
functions_more.dfy|ReverseAbc|test|tests/test_string_functions.sh
functions_more.dfy|ReverseEmpty|test|tests/test_string_functions.sh
functions_more.dfy|CaseFirstMatch|support|-
functions_more.dfy|CaseReturnsAResult|support|-
functions_more.dfy|ReverseConcat|support|-
functions_more.dfy|ReverseInvolution|support|-
subscript_bisim.dfy|EvalSubsLength|support|-
subscript_bisim.dfy|ExecCodeConcat|support|-
subscript_bisim.dfy|SubsBisim|support|-
subscript_bisim.dfy|ExprBisim|conformance|tests/test_bytecode_conformance.sh
subscript_bisim.dfy|StmtBisim|conformance|tests/test_bytecode_conformance.sh
string_functions.dfy|FirstMatchCaretAbc|support|-
string_functions.dfy|FirstMatchCaretBc|support|-
string_functions.dfy|FirstMatchCaretC|support|-
string_functions.dfy|FirstMatchCaretPlain|support|-
string_functions.dfy|PieceFirst|test|tests/test_string_functions.sh
string_functions.dfy|PieceSecond|test|tests/test_string_functions.sh
string_functions.dfy|PieceThird|test|tests/test_string_functions.sh
string_functions.dfy|PieceBeyond|test|tests/test_string_functions.sh
string_functions.dfy|PieceNoDelim|test|tests/test_string_functions.sh
special_vars.dfy|PopPush|test|tests/test_special_vars.sh
special_vars.dfy|PopUnderflow|test|tests/test_special_vars.sh
special_vars.dfy|PushIncreases|test|tests/test_special_vars.sh
special_vars.dfy|ResetZero|test|tests/test_special_vars.sh
special_vars.dfy|TruthFlagIsBit|support|-
special_vars.dfy|TruthFlagZero|support|-
special_vars.dfy|TruthFlagOne|support|-
lock_semantics.dfy|AcquireIdempotent|test|tests/test_locks.nim
lock_semantics.dfy|ReleaseRemoves|test|tests/test_locks.nim
lock_semantics.dfy|ReleaseAllEmpty|test|tests/test_locks.nim
lock_semantics.dfy|AcquireReleaseNoop|test|tests/test_locks.nim
lock_semantics.dfy|ReleaseAbsentNoop|test|tests/test_locks.nim
data_structures.dfy|TopAfterPush|test|tests/test_data_structures_invariants.nim
data_structures.dfy|PopPush|test|tests/test_data_structures_invariants.nim
data_structures.dfy|FrontAfterEnqueue|test|tests/test_data_structures_invariants.nim
data_structures.dfy|DequeueFront|test|tests/test_data_structures_invariants.nim
data_structures.dfy|AncestorLe|support|-
data_structures.dfy|PeekIsMin|test|tests/test_data_structures_invariants.nim
command_bisim.dfy|RunStep|support|-
command_bisim.dfy|KillReset|test|tests/test_bytecode_conformance.sh
command_bisim.dfy|KillOnlyOther|test|tests/test_bytecode_conformance.sh
command_bisim.dfy|MergeCopy|test|tests/test_bytecode_conformance.sh
command_bisim.dfy|MergeOther|test|tests/test_bytecode_conformance.sh
command_bisim.dfy|CommandBisim|conformance|tests/test_bytecode_conformance.sh
for_loop_bisim.dfy|RunStep|support|-
for_loop_bisim.dfy|RunBody|support|-
for_loop_bisim.dfy|LoopFrom|support|-
for_loop_bisim.dfy|ForBisim|conformance|tests/test_bytecode_conformance.sh
